reviewId,app_name,content,sentiment_polarity,sentiment
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,o a da sopre é razoável apesar de ser fácil de utilizar apresenta alguns bugs por exemplo sugestão de palavra errada no campo de pesquisa que acarreta na busca errada sugestões de produtos que não têm nada a ver com coisas de nosso interesse dificuldade de acesso de alguns jogos ou travamento durante alguma jogada falhas para carregar certos anexos para avaliação dos produtos no geral são problemas que se pode contornar pois não ocorrem com tanta frequência,positive,sadness
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,o a é bem otimizado fácil de visualizar os produtos pedidos e rastreio interface intuitiva porém existem incómodos acho que o principal é a má recomendação de produtos as vezes aparece uns produtos que não deveriam aparecer e que não tem nada a ver com o pesquisado até então como brinquedos sexuais me incomoda um pouco isso porém não atrapalha por completo a utilização do a no geral o a é muito bom e a loja em geral também faz um bom trabalho,positive,sadness
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,o a é muito bom prático e fácil de entender porém alguns vendedores mandam produtos que apesar de bem semelhantes ao anúncio ainda tem lá suas diferenças e em celulares fracos como o meu tem vezes que o a fecha sozinho ou trava chegando a nem abrir as vezes poderia ser mais leve e otimizado para dispositivos fracos mas fora isso o a é ótimo excelentes produtos e simples de usar,positive,sadness
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,aplicativo muito bom mas algo que me chateou bastante foi o fato de que ao pesquisar um produto e colocar o cem aparece que o frete é grátis ou bem ratinho e que acima de o frete é gratuito mas comprei produtos de valores altos e quando coloquei no carrinho e fechei o pedido apareceu valores altos de frete deu vontade de desistir da compra mas como precisava muito acabei comprando acho que deveriam informar o valor correto do frete no momento da pesquisa quando colocamos o cem,positive,sadness
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,o a é muito bom porém tenho tido dificuldades para pagamento no cartão de crédito após fazer compra no pia eu altero o meio de pagamento porém quando chega na parte de colocar o código do cartão trava e não sai daquela área já deixei de fazer muitas compras por conta disso se puderem concertar esse bug séria ótimo para nós consumidores,negative,disgust
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,é muito bom esse a porém ele fica travando um pouco até mesmo na hora de concluir a compra aí precisa sair e entrar novamente precisaria melhor a plataforma mas no mais é bom passando para dizer que houve melhoras finalização da compra está super rápida e adorei a opção de parcelar rosto risonho com olhos bem abertos,positive,happiness
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,tenho gostado bastante do a acredito que em decorrência das atualizações o a parou de travar durante a sua inicialização neste momento inicio o a com muita agilidade quanto aos produtos consigo encontrar excelentes preços e qualidades também,positive,happiness
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,adoro tudo que você pensar tem e as promoções de frete são o diferencial desse a as pessoas colaboram muito no sentido de avaliar os produtos com fotos e vídeos além dos comentários o que facilita identificar a qualidade na hora de escolher o que comprar já fiz várias compras e na grande maioria fiquei muito satisfeita,positive,happiness
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,o a é muito bom algumas mercadorias são realmente de qualidade e preço justo chega no prazo as vezes antes mas agora me peguei tentando rastrear um pedido que fiz e não sei como faz rosto deprimido pelo site dos correios não aceita pé o número de castramento é fora do padrão uma vez que estava marcado para chegar em uma data e agora mudou radicalmente se tiver alguém que saiba sobre esse castramento no mais estou gostando comprei muitas coisas de qualidade,positive,sadness
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,estava com problema inicial de não conseguir enviar mensagens no chato para tirar dúvidas sobre os produtos com os vendedores abri ajuda fiz todos os passos das orientações e atendimento e tive que desinstalar e reinstalar o a para funcionar porém funcionou somente naquele mesmo dia no dia seguinte voltou o problema terça também tentei reclamar de um produto que recebi e não consigo pois o chato não vai hoje já reinstalei vezes o a e não reconhece o código por whatsapp ou por sós,negative,anger
