reviewId,app_name,content,sentiment_polarity,sentiment
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,sopre razoável apesar fácil utilizar apresentar bugs sugestão palavra errar Campo pesquisa acarreto busca errar sugestão produto coisa interesse dificuldade acesso jogo travamento durante algum jogada falho carregar certos anexo avaliação produto problema contornar ocorrer frequência,positive,sadness
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,otimizar fácil visualizar produto pedido rastreio interface intuitivo existir incómodo achar principal má recomendação produto aparecer produto dever aparecer pesquisar brinquedo sexual incomoda atrapalhar completo utilização loja trabalho,positive,sadness
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,prático fácil entender vendedor mandar produto apesar semelhante anúncio diferença celular fraco fechar sozinho trar chegar abrir poder levar otimizar dispositivo fraco ótimo excelente produto simples,positive,sadness
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,aplicativo chatear fato pesquisar produto colocar cem aparecer frete grátis ratinho acima frete gratuito compr produto valor alto coloquei carrinho fechei pedir aparecer valor alto frete dar vontade desistir compra precisar acabar comprar acho dever informar correto frete pesquisa colocar cem,positive,sadness
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,ter dificuldade pagamento cartão crédito compra pia alterar pagamento chegar colocar código cartão trar sair deixeir muito compra contar puderem concertar bug sério bom consumidor,negative,disgust
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,ficar travar hora concluir compra precisar sair entrar novamente precisario bom plataforma passar melhora finalização compra super rápir adorar opção parcelar risonho olho aberto,positive,happiness
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,gostar acreditar decorrência atualização parar travar durante inicialização muito agilidade produto consigo encontrar excelente preço qualidade,positive,happiness
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,adorar pensar promoção frete diferencial pessoa colabor sentido avaliar produto foto vídeo comentário facilitar identificar qualidade hora escolher comprar fiz várias compra fiquei satisfazer,positive,happiness
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,mercadoria realmente qualidade preço justo chegar prazo peguei tentar rastrear pedir fiz deprimido site correio aceitar pé castramento padr marcar chegar data mudar radicalmente alguém saber castramento gostar comprar muito coisa qualidade,positive,sadness
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,problema inicial conseguir enviar mensagem chato tirar dúvida produto vendedor abri ajudar fiz passo orientação atendimento desinstalar reinstalar funcionar funcionar dia dia seguinte voltar problema terça reclamar produto recebir consigo chato hoje reinstalei reconhecer Código Whatsapp só,negative,anger
980c8f5e-71ec-4a51-8f37-00592e7905d1,Shopee,eu bom shopping onliner surgir respeitar cliente consumidor aspeto entregar excelente benefício infinidade loja produto site super fácil entender complicação trar funcionar,positive,happiness
fbd2a876-9f0f-4abe-82f9-f4b17fd8971e,Shopee,serviço varejo frete ótimo funcionar produto bom recomendo compr início setembro data aniversário sopre muito promoção bom aplicativo problema compra ate,positive,happiness
d53d8ea8-0586-4b4f-bafa-2a110d80d5a3,Shopee,compro medo receber produto Entrega rápido gostar aparecer entregar ser fato outro dia dia entregar fico dúvida algum vizinho receber repassar erro precisar corriger rápido,positive,sadness
d52df159-2657-462b-a165-de72f0f5c262,Shopee,recomendo comprar dar nenhum problema único defeito ver opção comprar cor diferentes mesmo loja ver colocar carrinho sopre poder colocar opção quantidades variação ficar melhor compra ajudar cliente compra dou estrela motivo chato dever resolver tempo,positive,sadness
c4a26416-86f6-4d88-8a33-5bdfdf26af5c,Shopee,aplicativo fácil produto asiático risonho olho sorridente muito arrumar opção horo compra comprar máscar facial opção escolher compra caso específico comprar diferente igual arrumar querer compra escolher outro,positive,sadness
